Code,Waarde,DatumVanaf,DatumTot,Toelichting
0000,Onbekend,1832-01-01,9999-12-31,
5001,Canada,1867-07-01,9999-12-31,
5002,Frankrijk,1832-01-01,9999-12-31,
5003,Zwitserland,1832-01-01,9999-12-31,
5004,Rhodesië,1965-11-11,1979-06-01,
5005,Malawi,1964-07-06,9999-12-31,
5006,Cuba,1832-01-01,9999-12-31,
5007,Suriname,1832-01-01,9999-12-31,
5008,Tunesië,1832-01-01,9999-12-31,
5009,Oostenrijk,1832-01-01,9999-12-31,
5010,België,1832-01-01,9999-12-31,
5011,Botswana,1966-09-30,9999-12-31,
5012,Iran,1832-01-01,9999-12-31,
5013,Nieuw-Zeeland,1832-01-01,9999-12-31,
5014,Zuid-Afrika,1832-01-01,9999-12-31,
5015,Denemarken,1832-01-01,9999-12-31,
5016,Noord-Jemen,1832-01-01,1990-05-22,
5017,Hongarije,1832-01-01,9999-12-31,
5018,Saoedi-Arabië,1832-01-01,9999-12-31,
5019,Liberia,1847-07-26,9999-12-31,
5020,Ethiopië,1832-01-01,9999-12-31,
5021,Chili,1832-01-01,9999-12-31,
5022,Marokko,1832-01-01,9999-12-31,
5023,Togo,1832-01-01,9999-12-31,
5024,Ghana,1957-03-06,9999-12-31,
5025,Laos,1832-01-01,9999-12-31,
5026,Angola,1832-01-01,9999-12-31,
5027,Filipijnen,1832-01-01,9999-12-31,
5028,Zambia,1964-10-24,9999-12-31,
5029,Mali,1960-06-20,9999-12-31,
5030,Ivoorkust,1832-01-01,9999-12-31,
5031,Burma,1832-01-01,1989-06-18,
5032,Monaco,1832-01-01,9999-12-31,
5033,Colombia,1832-01-01,9999-12-31,
5034,Albanië,1832-01-01,9999-12-31,
5035,Kameroen,1960-01-01,9999-12-31,
5036,Zuid-Vietnam,1832-01-01,1976-07-02,
5037,Singapore,1832-01-01,9999-12-31,
5038,Paraguay,1832-01-01,9999-12-31,
5039,Zweden,1832-01-01,9999-12-31,
5040,Cyprus,1832-01-01,9999-12-31,
5041,Australisch Nieuw-Guinea,1832-01-01,1975-09-16,
5042,Brunei,1832-01-01,9999-12-31,
5043,Irak,1832-01-01,9999-12-31,
5044,Mauritius,1832-01-01,9999-12-31,
5045,Vaticaanstad,1929-02-11,9999-12-31,
5046,Kashmir,1832-01-01,1991-06-01,*
5047,Myanmar,1989-06-18,9999-12-31,
5048,Jemen,1990-05-22,9999-12-31,
5049,Slovenië,1992-01-15,9999-12-31,
5050,Zaïre,1971-10-27,1997-07-15,
5051,Kroatië,1992-01-15,9999-12-31,
5052,Taiwan,1832-01-01,9999-12-31,
5053,Rusland,1991-12-31,9999-12-31,
5054,Armenië,1991-12-31,9999-12-31,
5055,Ascension,1832-01-01,9999-12-31,
5056,Azoren,1832-01-01,9999-12-31,
5057,Bahrein,1832-01-01,9999-12-31,
5058,Bhutan,1832-01-01,9999-12-31,
5059,Britse Antillen,1962-02-01,1981-11-01,
5060,Comoren,1832-01-01,9999-12-31,
5061,Falklandeilanden,1832-01-01,9999-12-31,
5062,Frans-Guyana,1832-01-01,9999-12-31,
5063,Frans-Somaliland,1832-01-01,1977-06-27,
5064,Gilbert- en Ellice-eilanden,1832-01-01,1975-10-01,
5065,Groenland,1832-01-01,9999-12-31,
5066,Guadeloupe,1832-01-01,9999-12-31,
5067,Kaapverdische Eilanden,1832-01-01,1975-07-05,*
5068,Macau,1832-01-01,1999-12-20,
5069,Martinique,1832-01-01,9999-12-31,
5070,Mozambique,1975-06-25,9999-12-31,
5071,Pitcairneilanden,1832-01-01,9999-12-31,
5072,Guinee-Bissau,1832-01-01,9999-12-31,
5073,Réunion,1832-01-01,9999-12-31,
5074,Saint Pierre en Miquelon,1832-01-01,9999-12-31,
5075,Seychellen en Amiranten,1832-01-01,1991-06-01,*
5076,Tonga,1832-01-01,9999-12-31,
5077,Wallis en Futuna,1832-01-01,9999-12-31,
5078,Zuidwest-Afrika,1832-01-01,1990-03-21,
5079,Frans-Indië,1832-01-01,1991-06-01,*
5080,Johnston,1832-01-01,9999-12-31,
5081,Kedah,1832-01-01,1946-04-01,
5082,Kelantan,1832-01-01,1946-04-01,
5083,Malakka,1832-01-01,1963-09-16,
5084,Mayotte,1832-01-01,9999-12-31,
5085,Negri Sembilan,1832-01-01,1946-04-01,
5086,Pahang,1832-01-01,1946-04-01,
5087,Perak,1832-01-01,1946-04-01,
5088,Perlis,1832-01-01,1946-04-01,
5089,Portugees-Indië,1832-01-01,1961-12-18,
5090,Selangor,1832-01-01,1946-04-01,
5091,Sikkim,1832-01-01,1991-06-01,*
5092,Saint Vincent en de Grenadines,1979-10-27,9999-12-31,
5093,Spitsbergen,1832-01-01,1991-06-01,*
5094,Trengganu,1832-01-01,1946-04-01,
5095,Aruba,1986-01-01,9999-12-31,
5096,Burkina Faso,1984-08-04,9999-12-31,
5097,Azerbeidzjan,1991-12-31,9999-12-31,
5098,Belarus,1991-12-31,9999-12-31,
5099,Kazachstan,1991-12-31,9999-12-31,
5100,Macedonië,1993-04-19,9999-12-31,
5101,Timor Leste,2002-05-20,9999-12-31,
